No Valid Time Entries;Cube_ID
333;665
327;80
327;1203
327;1301
326;1178
325;2009
324;44
324;812
323;1036
322;1019
320;1994
318;646
318;676
317;1952
315;1224
314;1904
312;591
310;1288
307;1156
307;2061
305;898
304;1996
302;1419
301;25
301;1501
299;2798
298;1045
295;1779
294;2207
293;87
293;1284
292;640
290;499
290;1613
289;3043
288;1369
288;2835
287;693
287;1061
287;2072
286;825
286;2681
284;289
284;2958
282;2854
280;67
280;1867
276;1568
276;2210
275;2773
274;865
272;35
272;139
271;557
271;2409
270;342
269;970
269;2826
268;12
265;882
264;2885
263;2682
262;1219
261;1258
260;915
260;932
260;2472
260;2784
260;2928
259;990
259;2403
259;2921
258;1708
258;1961
257;2303
256;2224
255;863
255;2929
254;1051
254;1653
254;1749
254;1873
254;2108
253;1453
253;1875
253;1926
252;1335
252;1670
252;2103
252;2597
251;839
251;1612
251;2070
251;2271
251;2676
251;2927
250;195
250;2465
250;2790
249;828
